group,routeHash,routePreview,firstEdge,lastEdge,edgeCount,vehicleCount,meanPredDuration,meanTruthDuration,bias,MAE,RMSE,medianAbsError,p90AbsError,p95AbsError,maxAbsError,underCount,overCount,underCliffCount,overCliffCount,underNearCliffCount,overNearCliffCount,severeAbsErrorGt1000Count,topAbsErrorVehicleID,topAbsErrorPredDuration,topAbsErrorTruthDuration,topAbsErrorSignedError,departMin,departMax,exposedModifiedSignals,modifiedSignalExposureRate
free_all,e104febbb46d,-E19 -> -E20 -> E13 -> E5,-E19,E5,4,50,83.0,89.06,-6.06,9.46,19.42730037859095,6.0,8.0,11.0,99.0,49,1,0,0,0,0,0,free_all_veh_000360,39.0,138.0,-99.0,0.0,10000.0,J21;J22,1.0
free_all,0fc76bc3c2fc,-E2 -> -E13 -> E20 -> E19,-E2,E19,4,50,151.12,160.04,-8.92,8.92,20.00799840063968,5.0,7.0,9.0,97.0,50,0,0,0,0,0,0,free_all_veh_001534,107.0,204.0,-97.0,0.0,10000.0,J21;J22,1.0
free_all,11b6fa0ab926,E10 -> -E12 -> E13 -> E5,E10,E5,4,50,96.32,105.0,-8.68,8.68,16.110865898517062,6.5,9.0,10.0,103.0,50,0,0,0,0,0,0,free_all_veh_001360,52.0,155.0,-103.0,0.0,10000.0,J17;J21;J22,1.0
free_all,1a4078e69256,E14 -> E12 -> -E9,E14,-E9,3,50,95.0,103.6,-8.6,8.6,19.553004884160387,5.0,6.0,8.0,95.0,50,0,0,0,0,0,0,free_all_veh_000092,52.0,147.0,-95.0,0.0,10000.0,J17;J21,1.0
free_all,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,50,73.46,81.86,-8.4,8.4,19.23642378406132,5.0,7.0,8.0,94.0,50,0,0,0,0,0,0,free_all_veh_001336,32.0,126.0,-94.0,0.0,10000.0,,0.0
free_all,209c0f416794,E17 -> E11 -> -E12 -> E13 -> E5,E17,E5,5,50,186.68,194.84,-8.16,8.16,19.346317479044945,5.0,6.0,7.0,96.0,50,0,0,0,0,0,0,free_all_veh_000779,143.0,239.0,-96.0,0.0,10000.0,J17;J21;J22,1.0
free_all,098e35e118ee,-E4 -> E3,-E4,E3,2,50,51.36,59.26,-7.9,7.9,17.6459627110566,5.0,6.0,9.0,87.0,50,0,0,0,0,0,0,free_all_veh_000145,20.0,107.0,-87.0,0.0,10000.0,,0.0
free_all,31574ce50048,E14 -> E13 -> E0 -> E4,E14,E4,4,50,113.32,121.16,-7.84,7.84,15.16047492659778,6.0,9.0,10.0,98.0,50,0,0,0,0,0,0,free_all_veh_001038,70.0,168.0,-98.0,0.0,10000.0,J21;J22,1.0
free_all,8fec84d97ae3,-E5 -> -E13 -> E20 -> E19,-E5,E19,4,50,193.8,200.44,-6.64,6.64,14.299650345375582,5.0,6.0,7.0,95.0,50,0,0,0,0,0,0,free_all_veh_001005,150.0,245.0,-95.0,0.0,10000.0,J21;J22,1.0
free_all,d91d5067468b,E9 -> -E11 -> E16 -> E15 -> E4,E9,E4,5,50,98.02,101.12,-3.1,6.58,13.527010016999322,5.0,9.0,11.0,86.0,44,2,0,0,0,0,0,free_all_veh_000946,141.0,55.0,86.0,0.0,10000.0,J17,1.0
